area,population,area_sqkm,num_industries,num_hospitals,num_schools,avg_income,waste_per_capita,recycling_rate,temperature,humidity,day_of_week,is_weekend,total_waste,aqi,waste_type
Industrial,22084,24.07642308776978,41,5,12,92433,0.8484927061043985,6.46667097179731,32.223759715960156,81.04800725728924,1,0,25758.29618696879,384.68246405596386,Industrial Hazardous
Airport,9021,20.936397182827836,16,0,13,140026,1.0593166226570152,33.40161393300319,39.82361300578779,43.71963030500594,1,0,13237.863322479081,204.12345445748832,Standard Mixed
Residential,34041,12.49774878051745,0,9,2,21564,1.6994997581642588,28.05847765223015,37.60424393616137,52.712372861983866,2,0,72522.50164753442,500.0,High Volume Organic
Industrial,29563,19.182992263393047,44,6,17,134638,0.8426154257956855,41.00483982251972,28.020622461086948,67.55783199950335,0,0,32508.946332131134,472.1582194040409,Industrial Hazardous
Commercial,5232,20.917751798575765,28,7,8,33870,0.8146424638385621,36.18105963230007,31.948682396665347,63.7748356674408,1,0,5771.304200331976,167.7101510104345,Industrial Hazardous
Industrial,28018,9.026660598123623,12,4,14,34219,0.9296441109666274,7.459308070759847,28.298058164399478,68.43639358838348,3,0,29344.148401663875,365.7816768935078,Mixed Unsegregated
Airport,40063,22.357746463314044,47,3,9,101977,1.6035638977978077,39.60465869770774,25.870138297611554,72.8092898662425,2,0,80972.5330067728,500.0,Industrial Hazardous
Downtown,40252,12.02659633209034,28,6,16,39880,1.3837866246727677,36.53233823736226,30.05744223845741,73.72619942479695,3,0,70155.33872403584,500.0,Industrial Hazardous
Harbor,30197,13.431280407191334,40,5,12,140082,2.15159909726537,31.873418278428332,24.662480633139268,74.25345580931261,0,0,77402.13665986819,500.0,Industrial Hazardous
Airport,3067,24.99283712663486,41,5,0,30379,1.8354510917092883,24.144375994393606,22.00470889352652,89.50060680335724,5,1,6375.087535003982,198.40113956057633,Industrial Hazardous
Industrial,16621,21.160922670727953,5,2,10,74294,1.7670081183039275,57.29525964318986,32.64184757004212,51.395236297848314,2,0,35012.97516844384,397.85169044751467,High Volume Organic
Downtown,2174,9.36336514143801,4,9,4,22948,0.6402301364101499,50.966373678666955,36.799335322017406,32.65118170296122,1,0,1966.3996415036222,80.35160323497435,Standard Mixed
Airport,11375,0.7534671135811487,33,3,8,139161,0.4215011569468086,35.105098495195215,22.200607651266214,50.93172086274433,5,1,5517.907207958648,184.62041361206354,Industrial Hazardous
Riverside,44840,15.84126480795042,10,4,6,115129,1.4219975020303977,0.38266951605698596,32.67229044347218,84.69455573789085,1,0,77740.83475141274,500.0,Mixed Unsegregated
Riverside,1239,17.745878940138642,8,8,6,143252,0.45761166381737955,25.92739453018639,25.850475092281265,35.00333313845914,3,0,709.1433131040859,64.09508998645273,Low Volume Dry
Airport,2045,16.444665908512803,37,7,1,55902,1.1008394150379401,42.02038371300594,22.552125929614515,68.8165330314407,2,0,2602.221154026785,158.6694857251729,Industrial Hazardous
Downtown,29640,24.21262760349872,39,2,18,103507,0.3574471663954949,7.037654086169538,30.527774463579682,55.3896859562718,5,1,14332.005309422195,266.3253456800185,Industrial Hazardous
Residential,9827,21.642790169637536,40,5,19,28969,0.6889797485856726,24.392976994304536,38.48536155610384,85.29437005596034,0,0,10713.585995505551,241.2875038655547,Industrial Hazardous
Downtown,5627,11.49637648292589,8,9,17,82805,0.5428093111163002,11.503513437158288,23.792287033168847,85.71439546445919,4,0,2977.557188392448,99.94871050833602,Mixed Unsegregated
Airport,23831,2.0400084430733334,7,0,9,40646,2.0621670087469246,20.288579228929066,33.986982554493025,77.11467492975595,4,0,59965.34500740654,500.0,High Volume Organic
Suburban,23504,12.163439852798923,43,2,4,80566,1.0614775356455382,1.6001522411893854,22.867452061931594,35.91121748973559,5,1,28816.40364589876,417.69811993295906,Industrial Hazardous
Residential,42333,17.386478489069567,39,9,15,75818,0.4734623401983926,7.603942935893961,35.096709529540206,31.482897447894448,0,0,28856.65523526328,391.0482612583086,Industrial Hazardous
Downtown,10992,15.388890301561613,2,6,4,83451,0.8840564499872943,27.28541100835563,33.999618109855895,38.19540347394963,1,0,11759.15105806436,175.56015693649118,Standard Mixed
Industrial,14249,13.68435815891668,12,6,14,23678,1.8021777893538007,53.89139526214682,34.14081929062731,49.30943981402952,4,0,32006.469058891616,378.3746531481568,High Volume Organic
Residential,24008,11.986064471373412,18,1,15,147559,1.9403975987791822,29.434897296051638,39.94270170004767,44.48591155184853,0,0,66179.60744821448,500.0,High Volume Organic
Riverside,9545,7.6971658891709644,33,2,3,129044,0.563703285668947,27.184648122473046,18.51293929516036,52.18555020973482,5,1,5364.411060300039,169.22147145592797,Industrial Hazardous
Suburban,20616,7.294995662253417,31,6,13,113055,2.012846167854654,47.254163578289344,24.72098082806737,38.58462156316303,5,1,47554.42677822855,500.0,Industrial Hazardous
Harbor,19167,12.755671233682147,48,5,16,135686,1.115230148077572,16.069804616157345,30.770304166460388,75.15018894683887,5,1,29790.678224358293,450.81233828672384,Industrial Hazardous
Commercial,10021,4.434777087526401,15,6,16,143439,1.7946418716570074,5.704124953491365,29.76188681108859,80.71779149786025,3,0,21049.109028140207,273.0726505333982,High Volume Organic
Downtown,9169,8.846792877582638,35,9,15,88879,1.7773171364532772,12.574357220200747,34.515827115155346,59.27715319977772,1,0,22511.552242753416,343.11345352535733,Industrial Hazardous
Riverside,27802,8.437492230397439,17,8,8,138189,2.045903986370807,47.478050216956944,16.172739543646916,87.39160489300303,0,0,50968.278057354095,500.0,Standard Mixed
Airport,11783,14.884753638812922,13,7,1,24014,1.833802116679902,40.622875505617095,32.62627921935703,37.22066699610938,5,1,26495.79751388013,343.4864128599167,High Volume Organic
Commercial,31435,2.133716358894102,29,5,10,25107,0.3855103846795005,5.49199093524215,33.443098915558494,36.34883358761701,3,0,16458.39481550677,267.69564361386415,Industrial Hazardous
Airport,7498,20.82688266649483,1,3,14,130174,1.4428584439570065,40.02558961700698,16.527527898783703,42.02394906965766,2,0,9196.879817739518,139.18146153148493,Standard Mixed
Commercial,29306,14.278270319417853,12,9,2,122632,0.665598581636138,55.89308909306251,28.467058930796593,88.91475340102913,4,0,21760.45980967521,307.0370189875525,Low Volume Dry
Commercial,32124,16.935253679010415,26,8,15,57423,2.4339219824839184,2.6972973600813677,21.124817612226988,54.98986870994635,4,0,81767.19098153428,500.0,Industrial Hazardous
Commercial,13940,17.725800642106105,16,6,18,140015,0.8628359847244154,36.98508575507014,35.04068153428325,85.44634833236202,4,0,15978.721170791861,235.14547976143368,Standard Mixed
Downtown,45965,7.641361352642144,30,4,5,142308,1.224236172792291,22.749874186974722,16.24034015484386,42.12058525224563,0,0,53582.29326449095,500.0,Industrial Hazardous
Downtown,47001,12.02410340092923,14,1,13,124162,0.7327447339015624,30.061887540810325,18.654103682399132,80.76618840485891,2,0,32388.29762431386,409.4337864102762,Low Volume Dry
Downtown,22297,23.928025918806846,19,8,4,123924,0.596096094399519,31.69072895872126,17.611344282246815,48.60110218462639,0,0,12353.617423585138,216.42007065293308,Low Volume Dry
Suburban,1769,19.284278330921964,4,6,4,127416,1.6220451213281628,46.262765848041234,16.630442636289608,74.06396425194646,5,1,2341.528676421017,86.68118816160064,Standard Mixed
Industrial,8368,24.25414344296804,6,8,5,52332,1.3849952272313455,33.42075118637633,30.001841575434277,88.46770899736424,0,0,13173.990798499342,182.27869700509225,Standard Mixed
Commercial,30751,18.783231456084064,17,8,17,125308,1.124251415026691,35.58513768750659,36.71367306403839,85.98147863886612,2,0,46482.15002457604,500.0,Standard Mixed
Harbor,12873,4.8022034228586765,10,9,17,54010,0.48792184873335565,19.97471062630857,27.774328116613447,79.87968767877729,5,1,7139.953277507517,150.91461004080722,Low Volume Dry
Industrial,19487,2.081129154194568,31,4,18,108935,1.9191106022708495,7.556717867056526,20.264538047854582,33.01236717089839,5,1,39015.89225195218,500.0,Industrial Hazardous
Residential,39229,14.65270519963176,49,6,1,134768,0.3128838553765216,40.96394000530994,23.59490671229929,66.46619291022637,3,0,14744.016040766877,297.87622585070983,Industrial Hazardous
Airport,16234,9.266425352713934,26,4,16,146500,1.3068554943245005,0.028928428707097886,24.009155551751352,80.12689134667954,5,1,23200.39507008478,333.08920068989187,Industrial Hazardous
Industrial,42929,7.248718798385171,25,2,0,22661,1.6916583577497353,19.723030169422152,26.2908849416074,53.95959538843839,1,0,83937.51218175107,500.0,Industrial Hazardous
Downtown,41837,20.276669412422727,36,9,8,24798,1.2475638383405632,13.082637265479597,25.513459148748062,73.8712769161886,4,0,62143.82301167,500.0,Industrial Hazardous
Industrial,40825,9.49133504350771,44,7,12,86076,0.5776597646046272,23.31200644536765,31.778781309771908,38.28679074806947,2,0,32611.677063001953,456.16270277208787,Industrial Hazardous
Industrial,18564,8.266523758490447,27,7,3,42329,2.0121497496070773,18.676081623829536,23.49780427591275,40.60590633447454,3,0,41468.1018428569,500.0,Industrial Hazardous
Harbor,8933,21.324696032640755,49,8,4,76060,1.0126766950679678,42.253024785135544,31.57413482029715,68.62256984473203,5,1,12863.080787471901,277.6044585048721,Industrial Hazardous
Airport,48921,21.234039743918274,1,5,17,45850,0.5964622126002528,15.612363035186185,28.669336274876617,56.22666121426929,2,0,31542.1022337225,371.27283804954317,Low Volume Dry
Suburban,9611,9.230982624998887,19,1,9,104705,1.5105847924420885,33.64502073524775,16.21272117627484,43.095075328455316,1,0,13269.593108056479,230.1084306579815,Standard Mixed
Airport,38950,20.89621817415617,3,2,3,149629,0.3421774266408335,27.346225803476184,37.991802105411516,46.97243935743808,2,0,17326.84201449776,233.30179136414878,Low Volume Dry
Airport,48747,21.344073013150183,12,9,12,138174,1.0129401196388779,48.06345032013136,19.448934839368853,67.1351185400649,2,0,46206.05735265114,500.0,Standard Mixed
Industrial,15547,10.886298108226823,23,5,12,23157,1.9514132131054824,25.685549271729947,26.28822139847965,73.5222471668113,3,0,34585.98477920605,422.4604219866597,Industrial Hazardous
Harbor,8584,2.1285916901247033,47,0,16,57485,2.3079649246011837,51.832564675893785,38.68993003070918,42.456849936446126,4,0,31119.972901544013,459.80386285126554,Industrial Hazardous
Commercial,22251,0.5388237894253325,37,1,7,25336,1.6018004107690738,0.00874605643518267,21.1833300358802,87.31163881742908,4,0,38815.73060175344,500.0,Industrial Hazardous
Airport,16953,13.320665340780378,39,7,3,92701,0.7787454878740201,36.29018131233899,15.554113713496514,30.49072241956101,3,0,12742.975999946226,259.1470094698361,Industrial Hazardous
Harbor,20808,8.929849587573715,47,7,2,136931,0.7840003315711223,0.5884196120498353,27.251245623185298,72.00373640141765,3,0,20744.042965285033,346.1496322293749,Industrial Hazardous
Industrial,39468,24.929731406879966,44,5,10,113154,1.6285176612672743,42.83605940060847,20.598279901005327,47.460038801968196,0,0,71695.93438699385,500.0,Industrial Hazardous
Downtown,30577,19.42406949086846,28,2,11,62280,1.1948757550452054,14.095344109692501,29.55068808011576,58.71087537496297,0,0,45338.00363304489,500.0,Industrial Hazardous
Industrial,43546,19.151248680585105,35,1,8,72145,0.6899814573069878,22.79887510638776,35.42770281691928,64.19082281682984,1,0,42706.94831545279,500.0,Industrial Hazardous
Residential,35275,23.90344782303992,1,5,14,136779,2.032273487282185,22.82625085641023,27.780497891115246,63.6913100753365,0,0,76063.6757104642,500.0,High Volume Organic
Airport,49070,22.24924774838636,40,0,12,133032,0.7405346803027072,50.7853451015935,31.125733622085193,76.57666144672366,0,0,49059.45920052137,500.0,Industrial Hazardous
Airport,46597,8.295593246681523,17,9,4,99290,1.007609836226477,6.125565653577256,31.653809895685196,79.42984911711481,2,0,57229.534949383036,500.0,Mixed Unsegregated
Downtown,25003,4.5666869292949706,48,5,4,25209,0.43514476531182933,40.013817201015755,35.51336241512672,34.40096158328395,2,0,16417.89703997753,310.1318062944844,Industrial Hazardous
Commercial,3279,18.774360494104315,7,8,18,81402,1.8430186488258566,58.875409751652235,32.19817022446033,72.18053484275276,3,0,7100.2121387151,133.0249958341518,High Volume Organic
Residential,21804,9.767710395230388,14,6,10,100026,0.9056114407247238,1.3430657482566177,39.40430379478954,53.943449637292176,5,1,27296.272417976394,361.07402920289786,Mixed Unsegregated
Industrial,1255,12.092729964958433,40,8,8,113137,0.8123073171663506,57.95365192570897,26.405281327234178,79.11535627167652,4,0,1021.8267696851168,145.041567395079,Industrial Hazardous
Downtown,39763,15.94474441623326,16,1,2,27645,0.9673882292489577,1.104283736612377,16.256459338175382,66.53342227068974,1,0,34361.53771220256,413.7440417257817,Mixed Unsegregated
Residential,43455,22.742880584913397,22,4,17,58508,2.2230871725399575,50.46896750754375,24.850672587056216,30.614185877428653,0,0,107170.17357090127,500.0,Industrial Hazardous
Harbor,42781,10.767649964938666,1,8,12,122458,1.4396408550402278,57.67466517954655,35.99695106633072,69.98790518212843,2,0,75548.78943330792,500.0,Standard Mixed
Residential,17900,19.691263810374352,5,6,11,149133,0.6473464057078325,59.581642936315,18.326691334283396,85.54261445137406,4,0,10148.537157449491,155.05495493360553,Low Volume Dry
Commercial,40615,7.074324886229108,28,8,8,77822,2.0038579520262934,27.54728045823313,33.39849631450993,34.985814190840856,0,0,108230.50988728977,500.0,Industrial Hazardous
Riverside,14749,17.600308877628535,26,5,9,120969,0.7585971403848677,52.017450375012636,28.391536457303218,59.653843644821336,5,1,13615.896903443787,230.70870675298707,Industrial Hazardous
Residential,48147,0.5386958164088408,36,6,12,26018,1.2074475260170616,7.340372581776302,37.51665242690968,67.55121038698105,4,0,85885.8654014432,500.0,Industrial Hazardous
Harbor,47325,21.851926730520553,48,9,19,70908,1.549766802345296,25.523060316855684,33.27974166795503,41.75181313834468,2,0,106076.29002598925,500.0,Industrial Hazardous
Harbor,45325,1.2442997088843313,33,4,19,46374,1.585774412405362,18.47849857098159,31.513102764151323,69.04149309799834,3,0,94634.57836829637,500.0,Industrial Hazardous
Industrial,25100,17.962466991683314,17,5,12,25713,0.451870656315997,23.71062303642471,37.171948232458334,32.98790755526598,5,1,15342.376164456577,215.07836551817618,Low Volume Dry
Commercial,38206,1.6333256369014553,41,0,8,131375,2.140969881746694,42.11885113586354,37.70549818232711,84.34075555677785,5,1,123600.20256516435,500.0,Industrial Hazardous
Industrial,19722,7.0230196351530845,9,0,9,137808,1.3547476718632967,5.248812002565315,24.622917610882638,75.7592308984939,0,0,27633.914614955997,352.29577319431183,Mixed Unsegregated
Industrial,34005,12.68145888713555,37,1,18,115608,2.476373539379364,59.889837619717795,38.196182796101326,86.4614079336412,0,0,126275.60886964279,500.0,Industrial Hazardous
Downtown,39468,10.788497791031835,43,3,5,107071,1.878373297484703,38.10402954221518,16.367450046570443,55.10558543401794,1,0,74585.31859946676,500.0,Industrial Hazardous
Suburban,41639,5.199984807724759,16,8,6,140293,2.48365158942462,52.41105519433572,34.064165697171156,32.05223056142256,0,0,132195.77162515544,500.0,High Volume Organic
Commercial,49883,8.678465336876316,12,6,14,116856,1.297645545743241,49.78173391432674,23.41327355289208,50.49204526446262,2,0,66660.21114775802,500.0,Standard Mixed
Downtown,41802,18.328806066493694,47,5,18,113099,0.6097190959294916,45.959852642328386,27.184923639142767,60.945092985355004,4,0,32908.029354462684,470.5462579101397,Industrial Hazardous
Industrial,29648,16.896798768201382,41,0,13,133631,1.9000806294652235,2.3534118674449633,35.89374715035308,86.15231250269213,5,1,82790.83445522189,500.0,Industrial Hazardous
Harbor,22802,2.2594573022159343,26,4,15,104498,2.0110726214628563,30.988024595012405,30.925968096645363,82.98398920467186,4,0,57767.79755885542,500.0,Industrial Hazardous
Industrial,3123,18.809237726535716,1,3,13,21026,2.1762375893414907,19.688902572870404,26.43727561333573,65.64430749640354,3,0,7011.1965863085725,125.86064162052669,High Volume Organic
Industrial,9146,1.7996240893271946,33,4,19,90009,0.9631878563338836,6.7763469493104145,19.098331069580773,73.78513512861427,5,1,9120.026613455319,194.56528404333002,Industrial Hazardous
Commercial,14043,13.801696532944717,30,8,1,90203,1.4235047650537196,20.579412385194193,38.48161988776113,87.23389753222136,5,1,28870.802213021638,399.6558815906291,Industrial Hazardous
Harbor,29460,6.871537327033671,22,2,8,71106,2.186512261392876,38.68818223849094,23.311936913532747,81.0354955477099,3,0,69172.20817900632,500.0,Industrial Hazardous
Industrial,23285,14.898408125215562,6,3,2,113425,2.202419720546178,13.837585717328654,17.529038090670213,69.529163702261,2,0,44737.39848009477,500.0,Mixed Unsegregated
Riverside,13317,6.902545700552095,37,7,5,111676,0.35650445472351,26.675725753352776,29.103668679077934,62.40330941535209,4,0,5917.687612808188,195.4888479383738,Industrial Hazardous
Airport,31906,24.63147025583286,32,2,4,102506,1.7760169249176816,24.269654617719016,25.156994780286425,58.5624457137584,5,1,65832.58616085825,500.0,Industrial Hazardous
Industrial,23956,8.08834050132453,11,2,13,101477,1.6237121690557201,3.1477777683846697,29.762779010932636,75.3965848580836,3,0,44939.923161898965,500.0,Mixed Unsegregated
Riverside,24277,6.428035574025152,44,8,14,148594,0.48334311019465287,37.68495176296804,20.8382490591908,78.5263809111566,5,1,12858.460023301952,259.0224576465328,Industrial Hazardous
Residential,21414,7.322399627425977,11,4,17,114564,2.346299374926311,37.130814137552036,24.468221627343006,43.05864012243314,3,0,52614.62440663497,500.0,High Volume Organic
